timed;gen;idx;min;sec
chrom;16;31;00;0.489
chrom;16;32;00;0.584
chrom;16;33;00;0.560
chrom;16;34;00;0.589
chrom;16;35;00;0.527
chrom;16;36;00;0.561
chrom;16;37;00;0.558
chrom;16;38;00;0.454
chrom;16;39;00;0.576
gen;16;;00;22.997
chrom;17;0;00;0.631
chrom;17;1;00;0.579
chrom;17;2;00;0.586
chrom;17;3;00;0.602
chrom;17;4;00;0.619
chrom;17;5;00;0.570
chrom;17;6;00;0.582
chrom;17;7;00;0.593
chrom;17;8;00;0.567
chrom;17;9;00;0.534
chrom;17;10;00;0.516
chrom;17;11;00;0.503
chrom;17;12;00;0.515
chrom;17;13;00;0.551
chrom;17;14;00;0.581
chrom;17;15;00;0.470
chrom;17;16;00;0.431
chrom;17;17;00;0.531
chrom;17;18;00;0.564
chrom;17;19;00;0.537
chrom;17;20;00;0.464
chrom;17;21;00;0.579
chrom;17;22;00;0.599
chrom;17;23;00;0.620
